"","X","City","State","State_Abbr","Plant","Site_Name","Zipcode","Population_Served","County_FIPS","Collection_Date","Sample_ID","Dilution","BCoV.Recovery","BCoV.Recovery.LCI","BCoV.Recovery.UCI","MPXV_G2R_gc_g_dry_weight","MPXV_G2R_gc_g_dry_weight_UCI","MPXV_G2R_gc_g_dry_weight_LCI","MPXV_G2R_norm_PMMoV","PMMoV_gc_g_dry_weight","PMMoV_gc_g_dry_weight_UCI","PMMoV_gc_g_dry_weight_LCI","XBB_bkpt_gc_g_dry_weight","XBB_bkpt_gc_g_dry_weight_UCI","XBB_bkpt_gc_g_dry_weight_LCI","XBB_bkpt_norm_PMMoV","SC2_BA_4_ORF1a_Del141143_gc_g_dry_weight","SC2_BA_4_ORF1a_Del141143_gc_g_dry_weight_UCI","SC2_BA_4_ORF1a_Del141143_gc_g_dry_weight_LCI","SC2_BA_4_ORF1a_Del141143_norm_PMMoV","MPXV_G2R_gc_g_dry_weight.1","MPXV_G2R_gc_g_dry_weight_UCI.1","MPXV_G2R_gc_g_dry_weight_LCI.1","MPXV_G2R_norm_PMMoV.1","Influenza_A_gc_g_dry_weight","Influenza_A_gc_g_dry_weight_UCI","Influenza_A_gc_g_dry_weight_LCI","Influenza_A_norm_PMMoV","SC2_N_gc_g_dry_weight","SC2_N_gc_g_dry_weight_UCI","SC2_N_gc_g_dry_weight_LCI","SC2_N_norm_PMMoV","SC2_BA_2_LPPA24S_gc_g_dry_weight","SC2_BA_2_LPPA24S_gc_g_dry_weight_UCI","SC2_BA_2_LPPA24S_gc_g_dry_weight_LCI","SC2_BA_2_LPPA24S_norm_PMMoV","SC2_Omicron_Del143145_gc_g_dry_weight","SC2_Omicron_Del143145_gc_g_dry_weight_UCI","SC2_Omicron_Del143145_gc_g_dry_weight_LCI","SC2_Omicron_Del143145_norm_PMMoV","SC2_S_gc_g_dry_weight","SC2_S_gc_g_dry_weight_UCI","SC2_S_gc_g_dry_weight_LCI","SC2_S_norm_PMMoV","SC2_Delta_156157_gc_g_dry_weight","SC2_Delta_156157_gc_g_dry_weight_UCI","SC2_Delta_156157_gc_g_dry_weight_LCI","SC2_Delta_156157_norm_PMMoV","HV_69_70_Del_gc_g_dry_weight","HV_69_70_Del_gc_g_dry_weight_UCI","HV_69_70_Del_gc_g_dry_weight_LCI","HV_69_70_Del_norm_PMMoV","Noro_G2_gc_g_dry_weight","Noro_G2_gc_g_dry_weight_UCI","Noro_G2_gc_g_dry_weight_LCI","Noro_G2_norm_PMMoV","Influenza_B_gc_g_dry_weight","Influenza_B_gc_g_dry_weight_UCI","Influenza_B_gc_g_dry_weight_LCI","Influenza_B_norm_PMMoV","HMPV_4_gc_g_dry_weight","HMPV_4_gc_g_dry_weight_UCI","HMPV_4_gc_g_dry_weight_LCI","HMPV_4_norm_PMMoV","HAV_gc_g_dry_weight","HAV_gc_g_dry_weight_UCI","HAV_gc_g_dry_weight_LCI","HAV_norm_PMMoV","HAdV_F_gc_g_dry_weight","HAdV_F_gc_g_dry_weight_UCI","HAdV_F_gc_g_dry_weight_LCI","HAdV_F_norm_PMMoV","Rotavirus_gc_g_dry_weight","Rotavirus_gc_g_dry_weight_UCI","Rotavirus_gc_g_dry_weight_LCI","Rotavirus_norm_PMMoV","EV.D68_gc_g_dry_weight","EV.D68_gc_g_dry_weight_UCI","EV.D68_gc_g_dry_weight_LCI","EV.D68_norm_PMMoV","C_auris_gc_g_dry_weight","C_auris_gc_g_dry_weight_UCI","C_auris_gc_g_dry_weight_LCI","C_auris_norm_PMMoV","RSV_gc_g_dry_weight","RSV_gc_g_dry_weight_UCI","RSV_gc_g_dry_weight_LCI","RSV_norm_PMMoV","MPXV_G2R_gc_g_dry_weight_trimmed5","MPXV_G2R_norm_PMMoV_trimmed5","PMMoV_gc_g_dry_weight_trimmed5","XBB_bkpt_gc_g_dry_weight_trimmed5","XBB_bkpt_norm_PMMoV_trimmed5","SC2_BA_4_ORF1a_Del141143_gc_g_dry_weight_trimmed5","SC2_BA_4_ORF1a_Del141143_norm_PMMoV_trimmed5","MPXV_G2R_gc_g_dry_weight_trimmed5.1","MPXV_G2R_norm_PMMoV_trimmed5.1","Influenza_A_gc_g_dry_weight_trimmed5","Influenza_A_norm_PMMoV_trimmed5","SC2_N_gc_g_dry_weight_trimmed5","SC2_N_norm_PMMoV_trimmed5","SC2_BA_2_LPPA24S_gc_g_dry_weight_trimmed5","SC2_BA_2_LPPA24S_norm_PMMoV_trimmed5","SC2_Omicron_Del143145_gc_g_dry_weight_trimmed5","SC2_Omicron_Del143145_norm_PMMoV_trimmed5","SC2_S_gc_g_dry_weight_trimmed5","SC2_S_norm_PMMoV_trimmed5","SC2_Delta_156157_gc_g_dry_weight_trimmed5","SC2_Delta_156157_norm_PMMoV_trimmed5","HV_69_70_Del_gc_g_dry_weight_trimmed5","HV_69_70_Del_norm_PMMoV_trimmed5","Noro_G2_gc_g_dry_weight_trimmed5","Noro_G2_norm_PMMoV_trimmed5","Influenza_B_gc_g_dry_weight_trimmed5","Influenza_B_norm_PMMoV_trimmed5","HMPV_4_gc_g_dry_weight_trimmed5","HMPV_4_norm_PMMoV_trimmed5","HAV_gc_g_dry_weight_trimmed5","HAV_norm_PMMoV_trimmed5","HAdV_F_gc_g_dry_weight_trimmed5","HAdV_F_norm_PMMoV_trimmed5","Rotavirus_gc_g_dry_weight_trimmed5","Rotavirus_norm_PMMoV_trimmed5","EV.D68_gc_g_dry_weight_trimmed5","EV.D68_norm_PMMoV_trimmed5","C_auris_gc_g_dry_weight_trimmed5","C_auris_norm_PMMoV_trimmed5","RSV_gc_g_dry_weight_trimmed5","RSV_norm_PMMoV_trimmed5","MPXV_G2R_num_wells","PMMoV_num_wells","XBB_bkpt_num_wells","SC2_BA_4_ORF1a_Del141143_num_wells","MPXV_G2R_num_wells.1","Influenza_A_num_wells","SC2_N_num_wells","SC2_BA_2_LPPA24S_num_wells","SC2_Omicron_Del143145_num_wells","SC2_S_num_wells","SC2_Delta_156157_num_wells","HV_69_70_Del_num_wells","Noro_G2_num_wells","Influenza_B_num_wells","HMPV_4_num_wells","HAV_num_wells","HAdV_F_num_wells","Rotavirus_num_wells","EV.D68_num_wells","C_auris_num_wells","RSV_num_wells"
"17510",17510,"Santa Cruz","California","CA","Santa Cruz, CA","City of Santa Cruz WTF - City Influent",95060,160000,"06087","4/3/2022","32-220403",1,0.973,0.84,1.118,NA,NA,NA,NA,1.09803e+11,1.30917e+11,1.00593e+11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,31413.07256,38107.41241,25553.41223,2.86086690068706e-07,36971.38331,44850.41837,30074.79748,3.36707612917361e-07,6282.092577,9567.730877,3852.148372,5.72125846158855e-08,36439.76924,45743.3218,28264.10125,3.31866070968e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,537409992,NA,NA,NA,NA,NA,NA,3593.393375,8.17607686269548e-06,31413.07256,3.73374426091709e-05,36971.38331,4.99967932666088e-05,0,0,36439.76924,3.11142554618597e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,2,NA,NA,NA,5,6,5,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"17511",17511,"Santa Cruz","California","CA","Santa Cruz, CA","City of Santa Cruz WTF - City Influent",95060,160000,"06087","4/5/2022","32-220405",1,0.724,0.587,0.85,NA,NA,NA,NA,383342499.4,395007367.1,371687868.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3593.393375,6151.949313,1195.147686,9.37384553332573e-06,14313.02857,18858.93136,9307.06409,3.73374426091709e-05,19165.89569,24732.03425,13642.70846,4.99967932666088e-05,0,0,0,0,11927.41645,16120.15942,8533.956294,3.11142554618597e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,667664557.7,NA,NA,NA,NA,NA,NA,1796.696688,4.08803843134774e-06,67032.55213,0.000114175,55845.18835,9.45160782002782e-05,3141.046289,2.86062923079428e-08,70044.43666,0.000111991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1584.189118,1.9854006146314e-06,NA,2,NA,NA,NA,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"17512",17512,"Santa Cruz","California","CA","Santa Cruz, CA","City of Santa Cruz WTF - City Influent",95060,160000,"06087","4/7/2022","32-220407",1,1.023,0.856,1.211,NA,NA,NA,NA,537409992,639909909.1,443532232.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4393.905401,7522.467478,2283.345402,8.17607686269548e-06,102652.0317,117216.6989,85001.82187,0.000191013,74718.99339,89973.6793,59414.23369,0.000139035,0,0,0,0,103649.1041,117527.5496,88220.9613,0.000192868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5858.577328,9357.753359,3364.25172,1.09015042804676e-05,NA,NA,597343088.1,NA,NA,NA,NA,NA,NA,1197.797792,2.72535895423183e-06,125410.6683,0.000215678,86393.55034,0.000139838,3798.304575,3.29835643348831e-06,102991.566,0.000145213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1056.126079,1.32360040975426e-06,NA,2,NA,NA,NA,5,6,5,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"17513",17513,"Santa Cruz","California","CA","Santa Cruz, CA","City of Santa Cruz WTF - City Influent",95060,160000,"06087","4/11/2022","32-220411",1,1.071,0.935,1.22,NA,NA,NA,NA,797919123.4,814677765.1,781184128.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,334076.9834,372598.0363,293480.2793,0.000418685,183906.2433,221086.1542,165121.2104,0.000230482,7849.814007,11539.40675,4220.942281,9.83785671584904e-06,168885.8248,190356.6684,143487.5464,0.000211658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3168.378236,5424.315075,975.4174535,3.97080122926279e-06,NA,NA,547712288,NA,NA,NA,NA,NA,NA,1197.797792,2.72535895423183e-06,140205.0923,0.000242161,98597.81441,0.000160965,2999.340155,5.27468328562056e-06,122808.8038,0.000184091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1814.378937,2.49189260952141e-06,NA,2,NA,NA,NA,6,5,6,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"17514",17514,"Santa Cruz","California","CA","Santa Cruz, CA","City of Santa Cruz WTF - City Influent",95060,160000,"06087","4/12/2022","32-220412",1,0.974,0.705,1.243,NA,NA,NA,NA,456700148.9,501974807,411531023.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,242166.9006,269843.0379,217913.7638,0.000530254,147490.2743,166304.997,127558.8989,0.000322948,5112.821147,8753.239541,2656.944593,1.11951379039612e-05,194389.7973,225045.7763,167209.6253,0.00042564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,587393432.5,NA,NA,NA,NA,NA,NA,1464.635134,2.72535895423183e-06,146327.9238,0.00025775,127440.8463,0.000215872,2999.340155,5.27468328562056e-06,145404.4074,0.000229605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1814.378937,2.49189260952141e-06,NA,2,NA,NA,NA,6,5,6,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"17515",17515,"Santa Cruz","California","CA","Santa Cruz, CA","City of Santa Cruz WTF - City Influent",95060,160000,"06087","4/14/2022","32-220414",1,1.125,0.738,1.488,NA,NA,NA,NA,649026723,692351069.2,603087595.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,75796.34451,83898.81679,67355.7937,0.000116785,73584.1755,82105.33253,64878.09254,0.000113376,3885.199318,5711.309658,2497.513349,5.98619314101263e-06,95891.48259,103774.1162,87516.12914,0.000147747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2274.758574,3894.427301,1182.107945,3.50487659930145e-06,NA,NA,609993044.1,NA,NA,NA,NA,NA,NA,2012.705803,3.49583714657445e-06,167218.1141,0.000285135,150718.9806,0.000249143,2999.340155,5.27468328562056e-06,163585.9278,0.000252445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,758.252858,1.16829219976715e-06,NA,2,NA,NA,NA,5,6,5,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"17516",17516,"Santa Cruz","California","CA","Santa Cruz, CA","City of Santa Cruz WTF - City Influent",95060,160000,"06087","4/17/2022","32-220417",1,1.141,1.019,1.273,NA,NA,NA,NA,575743582.6,601333046.6,552421293.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6038.117409,8876.138263,3881.468092,1.04875114397234e-05,94164.83925,110159.1807,80176.32621,0.000163553,160113.2711,174730.0526,145039.84,0.000278098,0,0,0,0,163678.2934,191346.1715,139005.9456,0.00028429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,545884186,NA,NA,NA,NA,NA,NA,6288.72251,1.35918153077962e-05,111761.2621,0.000192471,140126.3611,0.000273319,2510.916877,4.86610667251299e-06,139254.4804,0.000231141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,2,NA,NA,NA,6,4,6,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"17517",17517,"Santa Cruz","California","CA","Santa Cruz, CA","City of Santa Cruz WTF - City Influent",95060,160000,"06087","4/19/2022","32-220419",1,1.981,1.727,2.245,NA,NA,NA,NA,605208826.5,638779888.7,567428434.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41955.79375,56462.80327,27917.17558,6.93244908310265e-05,165322.6024,180673.0405,149973.4069,0.000273166,144553.3964,163621.6713,127028.6001,0.000238849,0,0,0,0,158193.6653,174708.376,140928.5189,0.000261387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,609993044.1,NA,NA,NA,NA,NA,NA,7497.895987,1.50936147730672e-05,102306.9011,0.000158117,124024.5036,0.000213378,1215.850438,1.99539771367088e-06,125540.6098,0.000187108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,2,NA,NA,NA,4,6,4,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"17518",17518,"Santa Cruz","California","CA","Santa Cruz, CA","City of Santa Cruz WTF - City Influent",95060,160000,"06087","4/21/2022","32-220421",1,0.5,0.426,0.582,NA,NA,NA,NA,423536643.9,452790378.6,393557531.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12828.05012,17337.39915,9178.346203,3.02879344836652e-05,59589.02366,82797.32735,40179.68331,0.000140694,128335.4126,159072.4932,98067.51948,0.000303009,3647.551314,7178.376653,1134.008917,8.61212687652633e-06,55939.96151,65793.51254,47169.27518,0.000132078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,662034055.9,NA,NA,NA,NA,NA,NA,9322.903804,1.50936147730672e-05,101963.8896,0.000158117,124024.5036,0.000213378,0,0,123864.5303,0.000181885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,2,NA,NA,NA,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"17519",17519,"Santa Cruz","California","CA","Santa Cruz, CA","City of Santa Cruz WTF - City Influent",95060,160000,"06087","4/24/2022","32-220424",1,0.521,0.437,0.612,NA,NA,NA,NA,805149758.5,934658979.1,687235088.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3627.52043,6210.370581,1885.09034,4.5053983958131e-06,136959.5195,151434.2848,123439.5079,0.000170104,99184.70161,117378.4788,84568.15675,0.000123188,0,0,0,0,122536.6814,146355.0153,103772.9914,0.000152191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,811284715.6,NA,NA,NA,NA,NA,NA,14996.0957,1.91072363713879e-05,125683.144,0.000194655,124024.5036,0.000221682,0,0,123864.5303,0.000181885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,2,NA,NA,NA,6,5,6,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"17520",17520,"Santa Cruz","California","CA","Santa Cruz, CA","City of Santa Cruz WTF - City Influent",95060,160000,"06087","4/26/2022","32-220426",1,0.893,0.488,1.337,NA,NA,NA,NA,4513273112,6288264413,3112366705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9102.54388,12954.3077,5772.600229,2.01683870112227e-06,74767.31004,83460.71462,66700.36535,1.65660947588472e-05,56650.49607,68625.98726,45252.97537,1.25519760650872e-05,0,0,0,0,90863.24429,100413.9911,81939.1711,2.01324497843975e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,869107463.5,NA,NA,NA,NA,NA,NA,10367.21708,1.2937172036781e-05,115817.8381,0.000161701,123631.2547,0.000203441,0,0,116862.2768,0.000153483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,2,NA,NA,NA,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"17521",17521,"Santa Cruz","California","CA","Santa Cruz, CA","City of Santa Cruz WTF - City Influent",95060,160000,"06087","4/28/2022","32-220428",1,3.254,2.836,3.711,NA,NA,NA,NA,1023495562,1103899051,943713222.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23057.69309,28453.82996,18391.99586,2.25283762346852e-05,361639.4875,388379.2437,338388.2474,0.000353338,327612.7302,356041.5904,304269.595,0.000320092,0,0,0,0,328154.6862,367450.763,287122.8976,0.000320622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,869107463.5,NA,NA,NA,NA,NA,NA,13777.09807,1.2937172036781e-05,127576.1328,0.000180731,133102.5045,0.000196349,0,0,129376.2164,0.000186387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,2,NA,NA,NA,6,5,6,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"17522",17522,"Santa Cruz","California","CA","Santa Cruz, CA","City of Santa Cruz WTF - City Influent",95060,160000,"06087","5/1/2022","32-220501",1,1.033,0.856,1.181,NA,NA,NA,NA,778677070.2,860714649.8,681061263.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9171.057229,12827.05522,6194.161244,1.17777414798448e-05,135726.6847,161353.1401,111031.5419,0.000174304,143373.6499,158575.9378,130550.5643,0.000184125,0,0,0,0,137186.9046,158257.0702,117080.4958,0.000176179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,1104319067,NA,NA,NA,NA,NA,NA,15711.85477,1.47243510923168e-05,202469.4554,0.000220498,174254.7857,0.000204409,0,0,175131.316,0.000192978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,2,NA,NA,NA,6,5,6,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"17523",17523,"Santa Cruz","California","CA","Santa Cruz, CA","City of Santa Cruz WTF - City Influent",95060,160000,"06087","5/3/2022","32-220503",1,1.229,1.064,1.411,NA,NA,NA,NA,556372430.9,571782133.9,540977716.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,507689.9146,535639.7991,479201.1116,0.0009125,110042.1941,123004.2194,98160.33755,0.000197785,156749.162,177972.7856,136112.3902,0.000281734,0,0,0,0,128405.0633,141772.1519,115443.038,0.00023079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,786181687.6,NA,NA,NA,NA,NA,NA,21104.02111,3.5296433742112e-05,229880.9856,0.000280176,174254.7857,0.000261984,0,0,176269.5046,0.00024253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,2,NA,NA,NA,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"17524",17524,"Santa Cruz","California","CA","Santa Cruz, CA","City of Santa Cruz WTF - City Influent",95060,160000,"06087","5/5/2022","32-220505",1,0.824,0.687,0.978,NA,NA,NA,NA,1510784569,1564324529,1453975866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14906.81399,19473.17187,10738.23589,9.86693556242045e-06,437227.7228,472079.2079,399207.9208,0.000289404,222641.5452,245638.8064,198499.3711,0.000147368,0,0,0,0,259801.9802,277755.7756,239735.9736,0.000171965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,780621019.7,NA,NA,NA,NA,NA,NA,21257.53696,3.55733357220302e-05,255077.064,0.000343397,174254.7857,0.000273306,0,0,176269.5046,0.000259746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,2,NA,NA,NA,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"17525",17525,"Santa Cruz","California","CA","Santa Cruz, CA","City of Santa Cruz WTF - City Influent",95060,160000,"06087","5/8/2022","32-220508",1,1.149,0.735,1.501,NA,NA,NA,NA,354099315.1,390279843.8,311640823.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25347.55625,33497.41485,16260.93442,7.15831835118059e-05,192276.7846,208528.0455,175820.639,0.000543002,125372.5392,145989.7063,104018.204,0.00035406,0,0,0,0,131819.6289,146330.6634,118872.6869,0.000372267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,802139577.6,NA,NA,NA,NA,NA,NA,21257.53696,3.64244406820009e-05,318042.082,0.000405793,231310.0716,0.00033627,0,0,244851.559,0.000336582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,2,NA,NA,NA,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"17526",17526,"Santa Cruz","California","CA","Santa Cruz, CA","City of Santa Cruz WTF - City Influent",95060,160000,"06087","5/10/2022","32-220510",1,1.303,1.061,1.525,NA,NA,NA,NA,1006813558,1041621036,968964785.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23518.24063,29658.54274,18405.32015,2.33590821744399e-05,928168.2211,1032974.122,784193.917,0.000921887,860823.495,976656.4142,748150.7195,0.000854998,0,0,0,0,734375.4844,820902.0221,622698.2237,0.000729406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,790352795.6,NA,NA,NA,NA,NA,NA,16836.4902,1.65471458863984e-05,364957.6889,0.000522387,271177.2621,0.000419163,0,0,301030.7521,0.000451815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,2,NA,NA,NA,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
